1.000000E+004,9.999950E+003,9.999200E+003,9.995950E+003,9.987200E+003,9.968750E+003,9.935200E+003,9.879950E+003,9.795200E+003,9.671950E+003,9.500000E+003,9.267950E+003,8.963200E+003,8.571950E+003,8.079200E+003,7.468750E+003,6.723200E+003,5.823950E+003,4.751200E+003,3.483950E+003,2.000000E+003
1.020000E+004,1.019995E+004,1.019918E+004,1.019585E+004,1.018688E+004,1.016797E+004,1.013358E+004,1.007695E+004,9.990080E+003,9.863749E+003,9.687500E+003,9.449649E+003,9.137280E+003,8.736249E+003,8.231180E+003,7.605469E+003,6.841280E+003,5.919549E+003,4.819980E+003,3.521049E+003,2.000000E+003
1.040000E+004,1.039995E+004,1.039916E+004,1.039575E+004,1.038656E+004,1.036719E+004,1.033196E+004,1.027395E+004,1.018496E+004,1.005555E+004,9.875000E+003,9.631348E+003,9.311360E+003,8.900548E+003,8.383160E+003,7.742188E+003,6.959360E+003,6.015148E+003,4.888760E+003,3.558148E+003,2.000000E+003
1.060000E+004,1.059995E+004,1.059914E+004,1.059565E+004,1.058624E+004,1.056641E+004,1.053034E+004,1.047095E+004,1.037984E+004,1.024735E+004,1.006250E+004,9.813046E+003,9.485440E+003,9.064846E+003,8.535140E+003,7.878906E+003,7.077440E+003,6.110746E+003,4.957540E+003,3.595246E+003,2.000000E+003
1.080000E+004,1.079995E+004,1.079912E+004,1.079555E+004,1.078592E+004,1.076563E+004,1.072872E+004,1.066795E+004,1.057472E+004,1.043915E+004,1.025000E+004,9.994745E+003,9.659520E+003,9.229145E+003,8.687120E+003,8.015625E+003,7.195520E+003,6.206345E+003,5.026320E+003,3.632345E+003,2.000000E+003
1.100000E+004,1.099994E+004,1.099910E+004,1.099544E+004,1.098560E+004,1.096484E+004,1.092710E+004,1.086494E+004,1.076960E+004,1.063094E+004,1.043750E+004,1.017644E+004,9.833600E+003,9.393444E+003,8.839100E+003,8.152344E+003,7.313600E+003,6.301944E+003,5.095100E+003,3.669444E+003,2.000000E+003
1.120000E+004,1.119994E+004,1.119908E+004,1.119534E+004,1.118528E+004,1.116406E+004,1.112548E+004,1.106194E+004,1.096448E+004,1.082274E+004,1.062500E+004,1.035814E+004,1.000768E+004,9.557743E+003,8.991080E+003,8.289063E+003,7.431680E+003,6.397543E+003,5.163880E+003,3.706543E+003,2.000000E+003
1.140000E+004,1.139994E+004,1.139906E+004,1.139524E+004,1.138496E+004,1.136328E+004,1.132386E+004,1.125894E+004,1.115936E+004,1.101454E+004,1.081250E+004,1.053984E+004,1.018176E+004,9.722041E+003,9.143060E+003,8.425781E+003,7.549760E+003,6.493141E+003,5.232660E+003,3.743641E+003,2.000000E+003
1.160000E+004,1.159994E+004,1.159904E+004,1.159514E+004,1.158464E+004,1.156250E+004,1.152224E+004,1.145594E+004,1.135424E+004,1.120634E+004,1.100000E+004,1.072154E+004,1.035584E+004,9.886340E+003,9.295040E+003,8.562500E+003,7.667840E+003,6.588740E+003,5.301440E+003,3.780740E+003,2.000000E+003
1.180000E+004,1.179994E+004,1.179902E+004,1.179504E+004,1.178432E+004,1.176172E+004,1.172062E+004,1.165294E+004,1.154912E+004,1.139814E+004,1.118750E+004,1.090324E+004,1.052992E+004,1.005064E+004,9.447020E+003,8.699219E+003,7.785920E+003,6.684339E+003,5.370220E+003,3.817839E+003,2.000000E+003
1.200000E+004,1.199994E+004,1.199900E+004,1.199494E+004,1.198400E+004,1.196094E+004,1.191900E+004,1.184994E+004,1.174400E+004,1.158994E+004,1.137500E+004,1.108494E+004,1.070400E+004,1.021494E+004,9.599000E+003,8.835938E+003,7.904000E+003,6.779938E+003,5.439000E+003,3.854938E+003,2.000000E+003
1.220000E+004,1.219994E+004,1.219898E+004,1.219484E+004,1.218368E+004,1.216016E+004,1.211738E+004,1.204694E+004,1.193888E+004,1.178174E+004,1.156250E+004,1.126664E+004,1.087808E+004,1.037924E+004,9.750980E+003,8.972656E+003,8.022080E+003,6.875536E+003,5.507780E+003,3.892036E+003,2.000000E+003
1.240000E+004,1.239994E+004,1.239896E+004,1.239474E+004,1.238336E+004,1.235938E+004,1.231576E+004,1.224394E+004,1.213376E+004,1.197354E+004,1.175000E+004,1.144834E+004,1.105216E+004,1.054354E+004,9.902960E+003,9.109375E+003,8.140160E+003,6.971135E+003,5.576560E+003,3.929135E+003,2.000000E+003
1.260000E+004,1.259993E+004,1.259894E+004,1.259463E+004,1.258304E+004,1.255859E+004,1.251414E+004,1.244093E+004,1.232864E+004,1.216533E+004,1.193750E+004,1.163003E+004,1.122624E+004,1.070783E+004,1.005494E+004,9.246094E+003,8.258240E+003,7.066734E+003,5.645340E+003,3.966234E+003,2.000000E+003
1.280000E+004,1.279993E+004,1.279892E+004,1.279453E+004,1.278272E+004,1.275781E+004,1.271252E+004,1.263793E+004,1.252352E+004,1.235713E+004,1.212500E+004,1.181173E+004,1.140032E+004,1.087213E+004,1.020692E+004,9.382813E+003,8.376320E+003,7.162333E+003,5.714120E+003,4.003333E+003,2.000000E+003
1.300000E+004,1.299993E+004,1.299890E+004,1.299443E+004,1.298240E+004,1.295703E+004,1.291090E+004,1.283493E+004,1.271840E+004,1.254893E+004,1.231250E+004,1.199343E+004,1.157440E+004,1.103643E+004,1.035890E+004,9.519531E+003,8.494400E+003,7.257931E+003,5.782900E+003,4.040431E+003,2.000000E+003
